occurrence,search,text_id,document_file,genre,year,document_word_count,title,author,source,token_index,match_word_1,match_lemma_1,match_pos_1,corpus_token_id_1,word_id_1,context_before,matched_text,context_after,full_context
56,insan,492050,mag_1965_492050.txt,MAG,1965,13410,'Has anybody here seen Kelly?',"Lapham, Lewis H.","Saturday Evening Post: 4/24/1965, Vol. 238 Issue 8, p32-53, 12p, 1 color",2012,insane,insane,jj,368302112,5931,"coasts . "" Of Lawrence and @ @ @ @ @ @ @ @ @ @ of course , are",insane,". "" Ile intended the remark as a high compliment , meaning to suggest that the richness of their talent","coasts . "" Of Lawrence and @ @ @ @ @ @ @ @ @ @ of course , are insane . "" Ile intended the remark as a high compliment , meaning to suggest that the richness of their talent"
57,insan,490650,mag_1967_490650.txt,MAG,1967,3749,Talk of the Town,"Trillin,Calvin",New Yorker: 1967-01-28: p. 25-29,2485,insane,insane,jj,359590249,5931,"freaky scene in San Francisco , like the lower East Side here , "" she said . "" Everything 's",insane,". Everyone 's freaking out  --  long acid trips , orgies , saturation , saturation , expanding , expanding .","freaky scene in San Francisco , like the lower East Side here , "" she said . "" Everything 's insane . Everyone 's freaking out  --  long acid trips , orgies , saturation , saturation , expanding , expanding ."
58,insan,10650,fic_1979_10650.txt,FIC,1979,193814,Passion Play,Jerzy Kosinski,,90791,insane,insane,jj,280202101,5931,younger than he himself was now . His mother he usually thought of as she had looked after she became,insane,. Only once had he been to his drowned brother 's grave in Newark but could not bear to go,younger than he himself was now . His mother he usually thought of as she had looked after she became insane . Only once had he been to his drowned brother 's grave in Newark but could not bear to go
59,insan,780050,fic_1981_780050.txt,FIC,1981,45157,Murder on Capitol Hill ,Margaret Truman,New York: Arbor House,36917,insanity,insanity,nn1,527219869,11581,"him lose even before the trial begins . "" Lydia agreed . His defense would apparently be based on legal",insanity,", and there were certain attorneys who could better present that plea to a jury than others . An awkward","him lose even before the trial begins . "" Lydia agreed . His defense would apparently be based on legal insanity , and there were certain attorneys who could better present that plea to a jury than others . An awkward"
60,insan,419850,mag_1990_419850.txt,MAG,1990,4336,Rotiss: The greatest game for baseball fans since baseball,"Cobb, N.<BR>Byrd, R.","Smithsonian:  Jun90: Vol. 21 Issue 3, p100, 9p, 7 illustrations",4292,insane,insane,jj,545335893,5931,day I actually read the front page of the newspaper before the sports page . I need time to get,insane,"again . "" The Bears made a note to send him a card . <p> September The Bears were tied","day I actually read the front page of the newspaper before the sports page . I need time to get insane again . "" The Bears made a note to send him a card . <p> September The Bears were tied"
61,insan,344950,mag_1991_344950.txt,MAG,1991,477,Is It Really That Wacky?,PICO IYER,Time Magazine: 1991/11/18,101,insane,insane,jj,316704385,5931,"Kipling was already pronouncing that "" San Francisco is a mad city , inhabited for the most part by perfectly",insane,"people "" ( others might say "" insanely perfect "" ) ; and more than 40 years ago , S.J.","Kipling was already pronouncing that "" San Francisco is a mad city , inhabited for the most part by perfectly insane people "" ( others might say "" insanely perfect "" ) ; and more than 40 years ago , S.J."
62,insan,344950,mag_1991_344950.txt,MAG,1991,477,Is It Really That Wacky?,PICO IYER,Time Magazine: 1991/11/18,109,insanely,insanely,rr,316704393,41313,"is a mad city , inhabited for the most part by perfectly insane people "" ( others might say """,insanely,"perfect "" ) ; and more than 40 years ago , S.J. Perelman was barreling down the yellow brick road","is a mad city , inhabited for the most part by perfectly insane people "" ( others might say "" insanely perfect "" ) ; and more than 40 years ago , S.J. Perelman was barreling down the yellow brick road"
63,insan,40350,fic_1992_40350.txt,FIC,1992,3168,Redbeard the Pirate's Perfect Day,"Winslow, Horatio","Saturday Evening Post:May 1992:. Vol. 264, Iss. 3;  pg. 28, 5 pgs:",3717,insane,insane,jj,548474251,5931,! It 's Red ! <p> Q. : And in the admiral 's car . <p> A. : How perfectly,insane,"! I told him not to do it . <p> Q. : He 's done it , all right .","! It 's Red ! <p> Q. : And in the admiral 's car . <p> A. : How perfectly insane ! I told him not to do it . <p> Q. : He 's done it , all right ."
64,insan,43250,fic_1998_43250.txt,FIC,1998,3843,Harry Ginsberg,Charles Baxter,"Ploughshares:Fall 1998:. Vol. 24, Iss. 2/3;  pg. 204, 11 pgs:",4491,insane,insane,jj,195390308,5931,"than he could achieve . Indictment : I had had hopes for him that drove him , he said ,",insane,". Indictment : I was who I was . Crazy , sick , and inspired with malice , he described","than he could achieve . Indictment : I had had hopes for him that drove him , he said , insane . Indictment : I was who I was . Crazy , sick , and inspired with malice , he described"
65,insan,44750,fic_1999_44750.txt,FIC,1999,3991,We Are the Dead..,India Edghill,"Fantasy &amp; Science Fiction:Apr 1999:. Vol. 96, Iss. 4;  pg. 55, 11 pgs:",2078,insanity,insanity,nn1,186301407,11581,"from either slugging Roy or bursting into tears . A Christmas tree , here in the mud and blood and",insanity,"that was Firebase Alpha , Quang Lai , South Vietnam . How crazy could you get ? But they all","from either slugging Roy or bursting into tears . A Christmas tree , here in the mud and blood and insanity that was Firebase Alpha , Quang Lai , South Vietnam . How crazy could you get ? But they all"
66,insan,14550,fic_2001_14550.txt,FIC,2001,11133,"Description Beggared, or the Allegory of Whiteness","Wellman, Mac, 1945-",[Play script],10300,INSANE,insane,jj,158212318,203292,", badly:And has suffered a sea-changeinto something rich and strange . This does not placate anyone.And then there 's this",INSANE,"dwarf following me around , following me taking pictures An odd ritual begins : all are locked into the mechanism",", badly:And has suffered a sea-changeinto something rich and strange . This does not placate anyone.And then there 's this INSANE dwarf following me around , following me taking pictures An odd ritual begins : all are locked into the mechanism"
67,insan,776350,nf_2001_776350.txt,NF,2001,2469,The no-spin zone :confrontations with the powerful and famous in America,"O'Reilly, Bill.","New York : Broadway Books,Edition: 1st ed.",2958,insane,insane,jj,521060026,5931,control the sexuality of the students by threatening them with various punishments for risque behavior . This of course was,insane,". The more you just say no , the more enticing certain kinds of behavior become . The issue came","control the sexuality of the students by threatening them with various punishments for risque behavior . This of course was insane . The more you just say no , the more enticing certain kinds of behavior become . The issue came"
68,insan,49050,fic_2004_49050.txt,FIC,2004,19563,Sergeant Chip,Bradley Denton,"Fantasy &amp; Science Fiction:Sep 2004:. Vol. 107, Iss. 3;  pg. 53, 46 pgs:",11141,insane,insane,jj,188636939,5931,"Dial and I moved downhill with First and second Platoons , lieutenant Morris shouted that Captain Dial 's orders were",insane,". The soldiers in APCs should stay in them , he said . Without armor , he said , they","Dial and I moved downhill with First and second Platoons , lieutenant Morris shouted that Captain Dial 's orders were insane . The soldiers in APCs should stay in them , he said . Without armor , he said , they"
69,insan,418250,mag_2005_418250.txt,MAG,2005,1055,BETTING AGAINST THE HOUSE,Justin Fox,"Fortune: Jun 13, 2005: . Vol. 151, Iss. 12;  pg. 25, 3 pgs",2,INSANITY,insanity,nn1,546262227,369872,COLLECTIVE,INSANITY,Headnote The only thing crazier than buying in a bubble ? Gambling on when it 's going to pop .,COLLECTIVE INSANITY Headnote The only thing crazier than buying in a bubble ? Gambling on when it 's going to pop .
70,insan,418250,mag_2005_418250.txt,MAG,2005,1055,BETTING AGAINST THE HOUSE,Justin Fox,"Fortune: Jun 13, 2005: . Vol. 151, Iss. 12;  pg. 25, 3 pgs",634,insanities,insanity,nn2,546262859,180711,It 's just that they have come to despair of finding a reliable way to make money off the periodic,insanities,"of the markets . In the late 1990s , for example , there was no shortage of smart Wall Streeters","It 's just that they have come to despair of finding a reliable way to make money off the periodic insanities of the markets . In the late 1990s , for example , there was no shortage of smart Wall Streeters"
71,insan,776550,nf_2006_776550.txt,NF,2006,2272,Godless :the church of liberalism,"Coulter, Ann H.","New York : Crown Forum,Edition: 1st ed.",1810,insanity,insanity,nn1,521271795,11581,funding Arab terrorists or  --  more repellent @ @ @ @ @ @ @ @ @ @ spasm of left-wing,insanity,"in the seventies , nuclear power was curtailed in this country . // Japan has nuclear power , France has","funding Arab terrorists or  --  more repellent @ @ @ @ @ @ @ @ @ @ spasm of left-wing insanity in the seventies , nuclear power was curtailed in this country . // Japan has nuclear power , France has"
72,insan,391050,mag_2007_391050.txt,MAG,2007,734,"Yoga for a younger, prettier face",,"Town and Country: Sep 2007: . Vol. 161, Iss. 5328;  pg. 140",156,insane,insane,jj,298784323,5931,"and forth from Manhattan to her homeland and Europe . "" Life , "" she says , "" is so",insane,"with my job . "" But here 's the thing : there 's not a wrinkle anywhere on her face","and forth from Manhattan to her homeland and Europe . "" Life , "" she says , "" is so insane with my job . "" But here 's the thing : there 's not a wrinkle anywhere on her face"
